  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0463E+00      1.0091E+00      1.0014E+00      1.0186E+00      1.0385E+00      8.7416E+01      9.2893E+01      1.0000E+00
      1.1353E+00      1.0961E+00      1.0278E+00      1.1787E+00      1.0073E+00      7.6821E+01      9.9197E+01      1.0000E+00
      7.1306E-01      1.3614E+00      1.2019E+00      1.6506E+00      4.5597E-01      6.8265E+01      1.2250E+02      1.0000E+00
      9.0787E-01      1.0464E+00      1.0080E+00      1.1289E+00      8.5643E-01      8.6550E+01      9.2822E+01      1.0000E+00
      9.9578E-01      1.0202E+00      1.0014E+00      1.0330E+00      9.8122E-01      8.7356E+01      9.2199E+01      1.0000E+00
      1.0488E+00      1.0119E+00      1.0019E+00      1.0203E+00      1.0452E+00      8.6804E+01      9.3370E+01      1.0000E+00
      1.0385E+00      1.0240E+00      1.0026E+00      1.0447E+00      1.0212E+00      8.6149E+01      9.2979E+01      1.0000E+00
      1.0633E+00      1.1477E+00      1.0228E+00      1.2844E+00      9.0925E-01      7.9788E+01      9.7834E+01      1.0000E+00
      1.0633E+00      1.1477E+00      1.0228E+00      1.2844E+00      9.0925E-01      7.9788E+01      9.7834E+01      1.0000E+00
      1.0385E+00      1.0240E+00      1.0026E+00      1.0447E+00      1.0212E+00      8.6149E+01      9.2979E+01      1.0000E+00
      1.0488E+00      1.0119E+00      1.0019E+00      1.0203E+00      1.0452E+00      8.6804E+01      9.3370E+01      1.0000E+00
      9.9578E-01      1.0202E+00      1.0014E+00      1.0330E+00      9.8122E-01      8.7356E+01      9.2199E+01      1.0000E+00
      9.0787E-01      1.0464E+00      1.0080E+00      1.1289E+00      8.5643E-01      8.6550E+01      9.2822E+01      1.0000E+00
      1.0057E+00      1.0397E+00      1.0030E+00      1.0801E+00      9.7534E-01      8.8630E+01      9.2090E+01      1.0000E+00
      1.0096E+00      1.0068E+00      1.0005E+00      1.0178E+00      1.0001E+00      8.8661E+01      9.1623E+01      1.0000E+00
      1.0507E+00      1.0280E+00      1.0023E+00      1.0460E+00      1.0417E+00      8.7055E+01      9.2955E+01      1.0000E+00
      1.1357E+00      1.1274E+00      1.0352E+00      1.1837E+00      1.0301E+00      7.6282E+01      1.0164E+02      1.0000E+00
      6.6321E-01      1.3524E+00      1.2104E+00      1.7001E+00      3.8357E-01      7.3347E+01      1.2339E+02      1.0000E+00
