  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      1.0462E+00      1.0091E+00      1.0014E+00      1.0186E+00      1.0384E+00      8.7412E+01      9.2898E+01      1.0000E+00
      1.1353E+00      1.0960E+00      1.0278E+00      1.1787E+00      1.0072E+00      7.6816E+01      9.9199E+01      1.0000E+00
      7.1302E-01      1.3615E+00      1.2020E+00      1.6512E+00      4.5589E-01      6.8260E+01      1.2250E+02      1.0000E+00
      9.0789E-01      1.0465E+00      1.0080E+00      1.1291E+00      8.5646E-01      8.6535E+01      9.2806E+01      1.0000E+00
      9.9580E-01      1.0203E+00      1.0014E+00      1.0331E+00      9.8126E-01      8.7351E+01      9.2203E+01      1.0000E+00
      1.0488E+00      1.0119E+00      1.0019E+00      1.0203E+00      1.0451E+00      8.6802E+01      9.3374E+01      1.0000E+00
      1.0385E+00      1.0240E+00      1.0026E+00      1.0446E+00      1.0212E+00      8.6148E+01      9.2980E+01      1.0000E+00
      1.0633E+00      1.1477E+00      1.0228E+00      1.2844E+00      9.0925E-01      7.9789E+01      9.7833E+01      1.0000E+00
      1.0633E+00      1.1477E+00      1.0228E+00      1.2844E+00      9.0925E-01      7.9789E+01      9.7833E+01      1.0000E+00
      1.0385E+00      1.0240E+00      1.0026E+00      1.0446E+00      1.0212E+00      8.6148E+01      9.2980E+01      1.0000E+00
      1.0488E+00      1.0119E+00      1.0019E+00      1.0203E+00      1.0451E+00      8.6802E+01      9.3374E+01      1.0000E+00
      9.9580E-01      1.0203E+00      1.0014E+00      1.0331E+00      9.8126E-01      8.7351E+01      9.2203E+01      1.0000E+00
      9.0789E-01      1.0465E+00      1.0080E+00      1.1291E+00      8.5646E-01      8.6535E+01      9.2806E+01      1.0000E+00
      1.0059E+00      1.0400E+00      1.0030E+00      1.0806E+00      9.7543E-01      8.8628E+01      9.2105E+01      1.0000E+00
