Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.00000000000000E+00000,0.46875000000000E-00003,0.46875000000000E-00003,0.12499999999395E+00000,0.12500000000000E+00000,0.28955078125001E+00000,0.46875000000000E-00003,0.46875000000000E-00003,0.46875000000000E-00003,0.20149852128546E-00018,0.20000000072576E+00001,0.10000000003160E+00001,0.28867513458783E+00000,0.20011951185827E+00001,0.46875000000787E-00003,0.15664487382141E-00020
0.36546863788254E-00001,0.46928373146172E-00003,0.93378040164816E-00004,0.12501152407874E+00000,0.12498959457218E+00000,0.28959771824462E+00000,0.46904664092063E-00003,0.46928373146172E-00003,0.46912567111106E-00003,-.37574763094624E-00003,0.20077434909017E+00001,0.10000130596806E+00001,0.28868844114805E+00000,0.20011571258772E+00001,0.46883215769647E-00003,0.31638176699578E-00006
0.72993187117783E-00001,0.47098671517603E-00003,-.27024743401390E-00003,0.12508207704938E+00000,0.12499274537482E+00000,0.28981225694107E+00000,0.47005774533629E-00003,0.47098671517603E-00003,0.47036740201170E-00003,-.74061483602560E-00003,0.20317342128300E+00001,0.10000258693364E+00001,0.28876989345542E+00000,0.20011191721351E+00001,0.46921303259809E-00003,0.12426333549890E-00005
0.10934173596434E+00000,0.47373822620218E-00003,-.61012812034505E-00003,0.12520823269701E+00000,0.12500869932594E+00000,0.29019807739684E+00000,0.47172295142973E-00003,0.47373822620218E-00003,0.47239470984946E-00003,-.10825228301945E-00002,0.20714685204094E+00001,0.10000379168163E+00001,0.28891548094787E+00000,0.20010811875284E+00001,0.46989394994372E-00003,0.27060609057484E-00005
0.14559697116239E+00000,0.47736332654442E-00003,-.91772846039297E-00003,0.12538505047900E+00000,0.12503636770335E+00000,0.29076157326137E+00000,0.47395514414316E-00003,0.47736332654442E-00003,0.47509120524697E-00003,-.13928196656399E-00002,0.21260905723869E+00001,0.10000484241957E+00001,0.28911941071583E+00000,0.20010431068833E+00001,0.47087785556284E-00003,0.45994596097737E-00005
0.18175633788655E+00000,0.48165079395346E-00003,-.11869073949543E-00002,0.12560640903214E+00000,0.12507439982923E+00000,0.29151120700102E+00000,0.47664904380943E-00003,0.48165079395346E-00003,0.47831629433418E-00003,-.16652236892885E-00002,0.21943556296406E+00001,0.10000564347691E+00001,0.28937450824395E+00000,0.20010048805649E+00001,0.47216812798036E-00003,0.67901219328939E-00005
0.21769331206434E+00000,0.48635839747575E-00003,-.14136965559112E-00002,0.12586451132325E+00000,0.12512110800247E+00000,0.29245308880782E+00000,0.47968081012665E-00003,0.48635839747575E-00003,0.48190667324082E-00003,-.18956032291520E-00002,0.22741570931146E+00001,0.10000609099294E+00001,0.28967166622834E+00000,0.20009666008855E+00001,0.47376110750845E-00003,0.91237864309925E-00005
0.25337751991095E+00000,0.49126352829550E-00003,-.15982015188823E-00002,0.12615171643174E+00000,0.12517481439977E+00000,0.29359399213368E+00000,0.48293592392967E-00003,0.49126352829550E-00003,0.48571179287959E-00003,-.20839133117619E-00002,0.23627595072435E+00001,0.10000609026692E+00001,0.29000197290334E+00000,0.20009282707336E+00001,0.47565167286700E-00003,0.11453291989379E-00004
0.28883018380206E+00000,0.49618322031125E-00003,-.17437828920737E-00002,0.12646107117132E+00000,0.12523400381002E+00000,0.29494113091536E+00000,0.48631929919742E-00003,0.49618322031125E-00003,0.48960727379903E-00003,-.22333901658728E-00002,0.24567581334830E+00001,0.10000556116609E+00001,0.29035733292080E+00000,0.20008898475807E+00001,0.47783304984982E-00003,0.13651913920457E-00004
0.32407606248891E+00000,0.50098205019527E-00003,-.18562513652275E-00002,0.12678634128118E+00000,0.12529736953845E+00000,0.29650045918820E+00000,0.48975832643727E-00003,0.50098205019527E-00003,0.49349956846839E-00003,-.23497509336959E-00002,0.25520744656750E+00001,0.10000444252686E+00001,0.29073050669096E+00000,0.20008512923825E+00001,0.48029429585145E-00003,0.15621474081357E-00004
0.35913843095807E+00000,0.50557841247906E-00003,-.19432431917688E-00002,0.12712214936364E+00000,0.12536387200364E+00000,0.29827571718895E+00000,0.49320573733294E-00003,0.50557841247906E-00003,0.49732996280129E-00003,-.24405731545700E-00002,0.26442186946764E+00001,0.10000269534964E+00001,0.29111526853767E+00000,0.20008125730613E+00001,0.48301933424300E-00003,0.17299747185234E-00004
0.39404032304209E+00000,0.50994524794425E-00003,-.20134490658687E-00002,0.12746406324686E+00000,0.12543278174786E+00000,0.30026787776096E+00000,0.49664002009206E-00003,0.50994524794425E-00003,0.50107509599227E-00003,-.25145241618610E-00002,0.27287415194494E+00001,0.10000030335127E+00001,0.29150650449788E+00000,0.20007736611520E+00001,0.48598688252329E-00003,0.18664100676827E-00004
0.42880892608762E+00000,0.51410545356901E-00003,-.20757098756176E-00002,0.12780863035323E+00000,0.12550370084695E+00000,0.30247516338854E+00000,0.50006353606031E-00003,0.51410545356901E-00003,0.50474417505260E-00003,-.25804540506702E-00002,0.28017722291173E+00001,0.99997270641675E+00000,0.29190024592113E+00000,0.20007345248459E+00001,0.48917141405162E-00003,0.19730570258806E-00004
0.46347047339117E+00000,0.51812198297237E-00003,-.21380307379089E-00002,0.12815324620396E+00000,0.12557653426287E+00000,0.30489290250147E+00000,0.50349782428379E-00003,0.51812198297237E-00003,0.50837254457696E-00003,-.26464032824858E-00002,0.28615440575436E+00001,0.99993618013569E+00000,0.29229351253373E+00000,0.20006951327706E+00001,0.49254395006316E-00003,0.20548415813318E-00004
0.49804739540690E+00000,0.52208618767503E-00003,-.22066203485515E-00002,0.12849599177604E+00000,0.12565143291045E+00000,0.30751374820644E+00000,0.50697817837591E-00003,0.52208618767503E-00003,0.51201418451944E-00003,-.27186345330710E-00002,0.29059700719527E+00001,0.99989378083974E+00000,0.29268412071269E+00000,0.20006554557905E+00001,0.49607340402199E-00003,0.21192027248960E-00004
0.50000000000000E+00000,0.52232723456620E-00003,-.22117795210434E-00002,0.12851528170064E+00000,0.12565573478805E+00000,0.30767682261751E+00000,0.50719173387390E-00003,0.52232723456620E-00003,0.51223690399233E-00003,-.27240164250357E-00002,0.29081395130635E+00001,0.99989121628847E+00000,0.29270608887943E+00000,0.20006532036547E+00001,0.49629025343170E-00003,0.21226887795331E-00004
0.53104939784265E+00000,0.52592735753838E-00003,-.22813790858135E-00002,0.12882069903256E+00000,0.12572527646942E+00000,0.31020128543188E+00000,0.51038955102610E-00003,0.52592735753838E-00003,0.51556882579508E-00003,-.27969479116086E-00002,0.29343824216037E+00001,0.99984809938019E+00000,0.29305369136338E+00000,0.20006172227974E+00001,0.49956630639166E-00003,0.21727408765452E-00004
0.56549184832294E+00000,0.53010365398790E-00003,-.23693926482944E-00002,0.12915587998596E+00000,0.12580514030355E+00000,0.31318969291561E+00000,0.51408729007167E-00003,0.53010365398790E-00003,0.51942608596424E-00003,-.28888187342586E-00002,0.29496562951321E+00001,0.99979535765025E+00000,0.29343469459257E+00000,0.20005769313102E+00001,0.50331157439648E-00003,0.22295652048598E-00004
0.59989123539902E+00000,0.53455129743728E-00003,-.24641903978391E-00002,0.12948587967183E+00000,0.12588805421039E+00000,0.31635088664541E+00000,0.51796485849103E-00003,0.53455129743728E-00003,0.52349367881626E-00003,-.29876840766553E-00002,0.29502847455418E+00001,0.99973783538346E+00000,0.29380932555183E+00000,0.20005362779213E+00001,0.50712728439128E-00003,0.22964044655668E-00004
0.63426194817388E+00000,0.53936522530670E-00003,-.25587532980404E-00002,0.12980989325264E+00000,0.12597416698399E+00000,0.31967571745220E+00000,0.52206311834816E-00003,0.53936522530670E-00003,0.52783049217284E-00003,-.30865837902132E-00002,0.29376953140165E+00001,0.99967573833514E+00000,0.29417669662142E+00000,0.20004952280049E+00001,0.51099250981857E-00003,0.23814310011951E-00004
0.66861516476417E+00000,0.54461814535454E-00003,-.26427394854657E-00002,0.13012698540886E+00000,0.12606332234403E+00000,0.32315669102492E+00000,0.52641357602352E-00003,0.54461814535454E-00003,0.53248176930064E-00003,-.31752212547664E-00002,0.29164488730785E+00001,0.99960911740921E+00000,0.29453577644474E+00000,0.20004537462292E+00001,0.51489187193680E-00003,0.24910165429950E-00004
0.70295883110364E+00000,0.55035304609888E-00003,-.27033596337985E-00002,0.13043597609072E+00000,0.12615495777872E+00000,0.32678842528153E+00000,0.53103467654639E-00003,0.55035304609888E-00003,0.53747413943600E-00003,-.32408337732345E-00002,0.28869492703415E+00001,0.99953784299691E+00000,0.29488526140486E+00000,0.20004117969499E+00001,0.51881579291950E-00003,0.26291545945327E-00004
0.73729764852678E+00000,0.55657714587088E-00003,-.27267399578583E-00002,0.13073536707270E+00000,0.12624804159966E+00000,0.33056782759055E+00000,0.53592868586417E-00003,0.55657714587088E-00003,0.54281151909261E-00003,-.32695514769509E-00002,0.28512727120373E+00001,0.99946159709188E+00000,0.29522349395297E+00000,0.20003693451647E+00001,0.52276029343575E-00003,0.27970261415065E-00004
0.77161443373457E+00000,0.56325479767025E-00003,-.26997345166908E-00002,0.13102316531128E+00000,0.12634101435420E+00000,0.33449183331854E+00000,0.54107695512951E-00003,0.56325479767025E-00003,0.54846958945649E-00003,-.32482041061473E-00002,0.28062813516857E+00001,0.99937993213190E+00000,0.29554826488103E+00000,0.20003263813274E+00001,0.52672426178001E-00003,0.29926694279876E-00004
0.80589672070522E+00000,0.57031290803834E-00003,-.26120266387471E-00002,0.13129716171387E+00000,0.12643192463550E+00000,0.33855981936804E+00000,0.54644367472122E-00003,0.57031290803834E-00003,0.55440010869240E-00003,-.31664267474395E-00002,0.27515304710431E+00001,0.99929225372577E+00000,0.29585712961256E+00000,0.20002828902150E+00001,0.53071156502352E-00003,0.32111966950133E-00004
0.84014589720798E+00000,0.57765014931220E-00003,-.24579905865187E-00002,0.13155508055256E+00000,0.12651858695474E+00000,0.34277437899553E+00000,0.55198069553505E-00003,0.57765014931220E-00003,0.56053720077478E-00003,-.30185277872935E-00002,0.26876322996759E+00001,0.99919784866912E+00000,0.29614757644634E+00000,0.20002388392874E+00001,0.53473112945620E-00003,0.34454085391470E-00004
0.87436184883418E+00000,0.58514639835305E-00003,-.22381381103346E-00002,0.13179457748010E+00000,0.12659872822872E+00000,0.34713897035839E+00000,0.55763111594073E-00003,0.58514639835305E-00003,0.56680289352926E-00003,-.28049410038639E-00002,0.26165090194653E+00001,0.99909599246079E+00000,0.29641702321796E+00000,0.20001941976655E+00001,0.53879408990878E-00003,0.36866339706817E-00004
0.90854332516489E+00000,0.59267958202302E-00003,-.19597813173624E-00002,0.13201341049792E+00000,0.12667021342114E+00000,0.35165720203269E+00000,0.56333740659082E-00003,0.59267958202302E-00003,0.57311814715418E-00003,-.25328994645166E-00002,0.25409818184085E+00001,0.99898603363417E+00000,0.29666300802754E+00000,0.20001489347776E+00001,0.54291279446223E-00003,0.39259701069064E-00004
0.94268841826835E+00000,0.60014467208639E-00003,-.16366208191522E-00002,0.13220962452143E+00000,0.12673127569781E+00000,0.35633211519013E+00000,0.56905063768858E-00003,0.60014467208639E-00003,0.57941533404339E-00003,-.22160361531956E-00002,0.24639246226723E+00001,0.99886747874522E+00000,0.29688339408083E+00000,0.20001030197627E+00001,0.54709988676133E-00003,0.41556748395733E-00004
0.97679520721733E+00000,0.60747088242174E-00003,-.12871980966825E-00002,0.13238172315878E+00000,0.12678071160503E+00000,0.36116552911888E+00000,0.57473884534977E-00003,0.60747088242174E-00003,0.58564954841763E-00003,-.18728476451002E-00002,0.23874654868729E+00001,0.99874006754603E+00000,0.29707655933421E+00000,0.20000564207900E+00001,0.55136749996652E-00003,0.43704310082191E-00004
