Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.39818947110346E+00000,0.51047170361778E-00003,-.20217650330783E-00002,0.12750664511309E+00000,0.12544266210204E+00000,0.30052793116789E+00000,0.49706543962952E-00003,0.51047170361778E-00003,0.50153419429224E-00003,-.25232992273705E-00002,0.27469805301901E+00001,0.99999842225604E+00000,0.29155519215990E+00000,0.20007732354629E+00001,0.48636881687456E-00003,0.18810985343710E-00004
0.43788469202295E+00000,0.51518785720196E-00003,-.20923577451823E-00002,0.12790064482780E+00000,0.12552425222970E+00000,0.30309676513878E+00000,0.50097761088471E-00003,0.51518785720196E-00003,0.50571435965709E-00003,-.25980721048394E-00002,0.28315269957127E+00001,0.99996226803699E+00000,0.29200530226670E+00000,0.20007289031634E+00001,0.49005125004675E-00003,0.19970047150190E-00004
0.47749978856761E+00000,0.51975174058807E-00003,-.21654722616728E-00002,0.12829450982137E+00000,0.12560848414083E+00000,0.30594188735812E+00000,0.50492014410744E-00003,0.51975174058807E-00003,0.50986400960093E-00003,-.26753362712737E-00002,0.28977592883885E+00001,0.99991806180109E+00000,0.29245456606839E+00000,0.20006841701224E+00001,0.49397375101131E-00003,0.20829281341215E-00004
0.50000000000000E+00000,0.52233802668124E-00003,-.22117266990256E-00002,0.12851735984282E+00000,0.12565766804995E+00000,0.30768123769240E+00000,0.50720096689157E-00003,0.52233802668124E-00003,0.51224665348806E-00003,-.27239733525137E-00002,0.29262870436982E+00001,0.99988952175518E+00000,0.29270845545562E+00000,0.20006585411443E+00001,0.49629725584273E-00003,0.21229154081286E-00004
0.51679129782308E+00000,0.52427735193417E-00003,-.22485518622319E-00002,0.12868293761627E+00000,0.12569507052289E+00000,0.30902977353988E+00000,0.50892243166658E-00003,0.52427735193417E-00003,0.51404073842237E-00003,-.27625926006543E-00002,0.29429874251187E+00001,0.99986668200747E+00000,0.29289695300141E+00000,0.20006393083464E+00001,0.49806114480636E-00003,0.21503608917427E-00004
0.55624009511321E+00000,0.52898317027726E-00003,-.23455745962391E-00002,0.12906861903190E+00000,0.12578554594012E+00000,0.31238151185501E+00000,0.51309905294418E-00003,0.52898317027726E-00003,0.51839375872179E-00003,-.28639683549608E-00002,0.29670966544799E+00001,0.99980811216382E+00000,0.29333555192180E+00000,0.20005937571638E+00001,0.50231519876807E-00003,0.22140395752399E-00004
0.59561552028927E+00000,0.53400626739453E-00003,-.24529783738319E-00002,0.12944768832125E+00000,0.12587988738541E+00000,0.31596216564368E+00000,0.51749438045779E-00003,0.53400626739453E-00003,0.52299834276994E-00003,-.29759767166018E-00002,0.29705588242689E+00001,0.99974319098627E+00000,0.29376599340433E+00000,0.20005477607618E+00001,0.50666896288733E-00003,0.22876588696194E-00004
0.63491735076117E+00000,0.53948999463875E-00003,-.25612549974112E-00002,0.12981873825168E+00000,0.12597831843595E+00000,0.31975524720560E+00000,0.52216853163847E-00003,0.53948999463875E-00003,0.52794235263846E-00003,-.30891973500497E-00002,0.29552206467799E+00001,0.99967231201217E+00000,0.29418671877078E+00000,0.20005012953690E+00001,0.51108695537505E-00003,0.23837706326800E-00004
0.67413838342508E+00000,0.54553924937205E-00003,-.26551833069912E-00002,0.13018018033587E+00000,0.12608055350128E+00000,0.32374635651395E+00000,0.52716521968044E-00003,0.54553924937205E-00003,0.53328989624420E-00003,-.31884732032354E-00002,0.29235289938590E+00001,0.99959562816154E+00000,0.29459597229185E+00000,0.20004543393212E+00001,0.51554283795849E-00003,0.25118650076067E-00004
0.71329667195484E+00000,0.55221143175938E-00003,-.27156741695232E-00002,0.13053031745649E+00000,0.12618569503038E+00000,0.32792763091273E+00000,0.53250900066646E-00003,0.55221143175938E-00003,0.53907647769732E-00003,-.32547506472205E-00002,0.28781349130689E+00001,0.99951293309033E+00000,0.29499188401999E+00000,0.20004068348948E+00001,0.52002370400538E-00003,0.26773655691787E-00004
0.75240922901426E+00000,0.55950342512114E-00003,-.27224121022602E-00002,0.13086695198497E+00000,0.12629207013343E+00000,0.33229576632129E+00000,0.53819729431409E-00003,0.55950342512114E-00003,0.54529933791633E-00003,-.32677114401765E-00002,0.28216384412074E+00001,0.99942369175695E+00000,0.29537202754602E+00000,0.20003587199270E+00001,0.52452659518191E-00003,0.28808883966079E-00004
