Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.40889891474417E+00000	 0.51176845651598E-00003	 -.20412786267857E-00002	 0.12761293951346E+00000	 0.12546465514346E+00000	 0.30119422979744E+00000	 0.49812265334013E-00003	 0.51176845651598E-00003	 0.50267125439874E-00003	 -.25439498811845E-00002	 0.27710143141220E+00001	 0.99998926857380E+00000	 0.29167669260496E+00000	 0.20007620320060E+00001	 0.48733775528324E-00003	 0.19159136355278E-00004
0.44959728117661E+00000	 0.51655018483490E-00003	 -.21133837024599E-00002	 0.12801747438389E+00000	 0.12554914033091E+00000	 0.30391087183525E+00000	 0.50214044683315E-00003	 0.51655018483490E-00003	 0.50694369283373E-00003	 -.26203273952937E-00002	 0.28527567950779E+00001	 0.99994977716083E+00000	 0.29213863647692E+00000	 0.20007165100919E+00001	 0.49119011856329E-00003	 0.20251049697481E-00004
0.49020811961203E+00000	 0.52121197966604E-00003	 -.21910655359166E-00002	 0.12842082602662E+00000	 0.12563644512520E+00000	 0.30691424663165E+00000	 0.50620506840537E-00003	 0.52121197966604E-00003	 0.51120737215892E-00003	 -.27022729080755E-00002	 0.29142569587586E+00001	 0.99990196743789E+00000	 0.29259850310237E+00000	 0.20006705683719E+00001	 0.49527960283887E-00003	 0.21060986193908E-00004
0.50000000000000E+00000	 0.52233974098536E-00003	 -.22117186748149E-00002	 0.12851769676986E+00000	 0.12565798280865E+00000	 0.30768195640471E+00000	 0.50720246691837E-00003	 0.52233974098536E-00003	 0.51224822494070E-00003	 -.27239668997556E-00002	 0.29258228181374E+00001	 0.99988924544248E+00000	 0.29270883914436E+00000	 0.20006594124517E+00001	 0.49629844336930E-00003	 0.21229456826834E-00004
0.53037936471484E+00000	 0.52587562844015E-00003	 -.22805868615180E-00002	 0.12881671961112E+00000	 0.12572614088163E+00000	 0.31015875869268E+00000	 0.51034335901646E-00003	 0.52587562844015E-00003	 0.51552078215769E-00003	 -.27961076436756E-00002	 0.29532231010682E+00001	 0.99984697511263E+00000	 0.29304916494350E+00000	 0.20006246028198E+00001	 0.49951492386606E-00003	 0.21720828605304E-00004
0.57081120004376E+00000	 0.53080019677200E-00003	 -.23845981589319E-00002	 0.12921005145594E+00000	 0.12582032730006E+00000	 0.31368233253885E+00000	 0.51469965937163E-00003	 0.53080019677200E-00003	 0.52006650517175E-00003	 -.29046646641037E-00002	 0.29701944330336E+00001	 0.99978449779166E+00000	 0.29349622536578E+00000	 0.20005777979616E+00001	 0.50391924783769E-00003	 0.22394544426647E-00004
0.61116930414323E+00000	 0.53611820387444E-00003	 -.24965782167818E-00002	 0.12959591132211E+00000	 0.12591871944990E+00000	 0.31744038315748E+00000	 0.51931118289249E-00003	 0.53611820387444E-00003	 0.52491352321980E-00003	 -.30214917400016E-00002	 0.29660704680253E+00001	 0.99971551134508E+00000	 0.29393413244253E+00000	 0.20005305125427E+00001	 0.50841395362940E-00003	 0.23224525445547E-00004
0.65146850332671E+00000	 0.54197325621776E-00003	 -.26038055476655E-00002	 0.12997290087318E+00000	 0.12602142320680E+00000	 0.32141769594530E+00000	 0.52423930503521E-00003	 0.54197325621776E-00003	 0.53015062209605E-00003	 -.31339561697615E-00002	 0.29431246976035E+00001	 0.99964031315720E+00000	 0.29436134355944E+00000	 0.20004827001689E+00001	 0.51296643827403E-00003	 0.24335781070565E-00004
0.69172228972064E+00000	 0.54846183672619E-00003	 -.26878350338006E-00002	 0.13033935506205E+00000	 0.12612791159416E+00000	 0.32560290453986E+00000	 0.52952545197813E-00003	 0.54846183672619E-00003	 0.53583758022747E-00003	 -.32236726140281E-00002	 0.29040953004442E+00001	 0.99955888344905E+00000	 0.29477602238768E+00000	 0.20004343082946E+00001	 0.51755541496372E-00003	 0.25814948951556E-00004
0.73191517770279E+00000	 0.55561358026595E-00003	 -.27269202364397E-00002	 0.13069288533067E+00000	 0.12623676581447E+00000	 0.32998627681000E+00000	 0.53517976540305E-00003	 0.55561358026595E-00003	 0.54199103702401E-00003	 -.32689112734637E-00002	 0.28518702922733E+00001	 0.99947090548358E+00000	 0.29517552442648E+00000	 0.20003853130894E+00001	 0.52216783647924E-00003	 0.27697809891587E-00004
