Time	Dissipation Rate Incompressible	Dissipation Rate Compressible	Ekin incomp	Ekin comp	Enstrophy comp	DR_u	DR_S	DR_Sd	DR_p	Maximum Vorticity	Mean Temperature	uprime	Mean Entropy	ED_S	ED_D
0.00000000000000E+00000	 0.46875000000000E-00003	 0.46875000000000E-00003	 0.12500000000000E+00000	 0.12500000000000E+00000	 0.28955078125000E+00000	 0.46875000000000E-00003	 0.46875000000000E-00003	 0.46875000000000E-00003	 0.56102611282101E-00019	 0.20000000000293E+00001	 0.10000000003125E+00001	 0.28867513459481E+00000	 0.20011951185825E+00001	 0.46875000000000E-00003	 0.96107902112741E-00025
0.38000518393186E-00001	 0.46933251062689E-00003	 0.77813869933032E-00004	 0.12501331427920E+00000	 0.12498956051395E+00000	 0.28960343228057E+00000	 0.46907527855533E-00003	 0.46933251062689E-00003	 0.46916102257915E-00003	 -.39134715264612E-00003	 0.20085419942039E+00001	 0.10000134935928E+00001	 0.28869050819081E+00000	 0.20011558815341E+00001	 0.46884232024077E-00003	 0.34328208117727E-00006
0.75968752429302E-00001	 0.47117978499702E-00003	 -.29978727036901E-00003	 0.12509054693266E+00000	 0.12499377398331E+00000	 0.28983817616153E+00000	 0.47017388413896E-00003	 0.47117978499702E-00003	 0.47050918442492E-00003	 -.77029645479393E-00003	 0.20347633210952E+00001	 0.10000267250252E+00001	 0.28877967025937E+00000	 0.20011166039315E+00001	 0.46925896840561E-00003	 0.13458924118294E-00005
0.11392011982612E+00000	 0.47415923374742E-00003	 -.65155857068877E-00003	 0.12522814030227E+00000	 0.12501185808488E+00000	 0.29026056769429E+00000	 0.47198045961534E-00003	 0.47415923374742E-00003	 0.47270671765924E-00003	 -.11242652883480E-00002	 0.20782123956626E+00001	 0.10000390950577E+00001	 0.28893844823453E+00000	 0.20010771938271E+00001	 0.47000369601081E-00003	 0.29272799414384E-00005
0.15187071502125E+00000	 0.47807498440755E-00003	 -.96792113005978E-00003	 0.12542078543251E+00000	 0.12504264317088E+00000	 0.29087975939838E+00000	 0.47439866520952E-00003	 0.47807498440755E-00003	 0.47562410494200E-00003	 -.14435452350018E-00002	 0.21380016021974E+00001	 0.10000496856502E+00001	 0.28916060754364E+00000	 0.20010375651886E+00001	 0.47108270402541E-00003	 0.49661370713480E-00005
0.18983081059467E+00000	 0.48268886609395E-00003	 -.12420796256107E-00002	 0.12566180752126E+00000	 0.12508465648985E+00000	 0.29170769773926E+00000	 0.47731113555477E-00003	 0.48268886609395E-00003	 0.47910371240090E-00003	 -.17211833380116E-00002	 0.22127487197138E+00001	 0.10000573621179E+00001	 0.28943831527203E+00000	 0.20009976467503E+00001	 0.47250305846184E-00003	 0.73108523364945E-00005
0.22777229186765E+00000	 0.48774148516328E-00003	 -.14704279855845E-00002	 0.12594338125330E+00000	 0.12513618206004E+00000	 0.29275696616513E+00000	 0.48058856777577E-00003	 0.48774148516328E-00003	 0.48297287357134E-00003	 -.19534008591558E-00002	 0.23002387781377E+00001	 0.10000608963414E+00001	 0.28976240986171E+00000	 0.20009574181874E+00001	 0.47426886342984E-00003	 0.97913985815634E-00005
0.26567926877785E+00000	 0.49298645453479E-00003	 -.16532863912973E-00002	 0.12625735680364E+00000	 0.12519544189285E+00000	 0.29404022209071E+00000	 0.48410670471596E-00003	 0.49298645453479E-00003	 0.48706662132213E-00003	 -.21403530126194E-00002	 0.23973061969122E+00001	 0.10000591160891E+00001	 0.29012337238221E+00000	 0.20009168580374E+00001	 0.47638040017846E-00003	 0.12239947189622E-00004
0.30351079968788E+00000	 0.49821275651587E-00003	 -.17946461411533E-00002	 0.12659552749074E+00000	 0.12526069224994E+00000	 0.29556749038776E+00000	 0.48775602879243E-00003	 0.49821275651587E-00003	 0.49124160470048E-00003	 -.22858877458538E-00002	 0.24997033197437E+00001	 0.10000510297915E+00001	 0.29051164921077E+00000	 0.20008759831900E+00001	 0.47883000008958E-00003	 0.14507704215913E-00004
0.34124900739972E+00000	 0.50327220202744E-00003	 -.19019084421542E-00002	 0.12695049899416E+00000	 0.12533043949892E+00000	 0.29734628200116E+00000	 0.49145615798068E-00003	 0.50327220202744E-00003	 0.49539483933022E-00003	 -.23973032814844E-00002	 0.26024246155608E+00001	 0.10000359189469E+00001	 0.29091865872802E+00000	 0.20008347960752E+00001	 0.48160301324617E-00003	 0.16485205887561E-00004
